縣市別,調查站_編號,調查站_地點,調查站_樁號_K,調查站_樁號_百位數,調查站_座標_經度,調查站_座標_緯度,路線編號,起迄地名_起點,起迄地名_迄點,起點樁號_K,起點樁號_百位數,迄點樁號_K,迄點樁號_百位數,地形,里程(公里),路面寬度(公尺),方向(往),車道佈設_快車道寬度(公尺)_1,車道佈設_快車道寬度(公尺)_2,車道佈設_快車道寬度(公尺)_3,車道佈設_快車道寬度(公尺)_4,車道佈設_快車道寬度(公尺)_5,車道佈設_機慢車道寬度(公尺)_1,車道佈設_機慢車道寬度(公尺)_2,車道佈設_路肩寬度(公尺),各車種車輛數(輛/日)_小型車,各車種車輛數(輛/日)_大客車,各車種車輛數(輛/日)_大貨車,各車種車輛數(輛/日)_全聯結車,各車種車輛數(輛/日)_半聯結車,各車種車輛數(輛/日)_機車,各車種車輛數(輛/日)_合計,總計_流量(PCU),總計_車公里,尖峰小時_交通量(PCU),尖峰小時_時段_起,尖峰小時_時段_迄,方向係數,備註,,,
臺東縣,Ⅲ-26,關山鎮,316,400,121.1672870,23.05635264,台9線,花東縣界,武陵,304,246,329,246,丘陵區,25,12.4,南,3.6,,,,,2.1,,0.4,3737,78,146,0,98,864,4923,5331,123075,518,17,18,0.55 ,,,,
臺東縣,Ⅲ-27,永隆村,330,900,121.1428605,22.93850329,台9線,武陵,鹿野,329,246,339,940,丘陵區,10.7,12,北,3.4,,,,,2.0,,0.5,2197,54,121,0,106,261,2739,3383,29307,298,16,17,0.55 ,,,,
臺東縣,Ⅲ-27,永隆村,330,900,121.1428605,22.93850329,台9線,武陵,鹿野,329,246,339,940,丘陵區,10.7,12,南,3.4,,,,,2.0,,0.5,2032,83,110,0,103,297,2625,3275,28087,367,16,17,0.55 ,,,,
臺東縣,Ⅲ-28,鹿鳴橋,341,100,121.0944798,22.89220597,台9線,鹿野,檳榔,339,940,351,750,丘陵區,11.8,13.2,北,3.4,,,,,2.0,,1.1,4070,96,137,0,100,546,4949,5542,58398,521,8,9,0.55 ,,,,
臺東縣,Ⅲ-28,鹿鳴橋,341,100,121.0944798,22.89220597,台9線,鹿野,檳榔,339,940,351,750,丘陵區,11.8,13.2,南,3.4,,,,,2.0,,1.1,4210,120,144,0,116,585,5175,5875,61065,434,8,9,0.55 ,,,,
臺東縣,Ⅲ-29,檳榔橋,352,000,121.090660,22.81035099,台9線,檳榔,卑南,351,750,357,400,丘陵區,5.6,12.5,北,3.4,,,,,2.1,,0.9,5219,120,139,0,117,1132,6727,7147,37671,511,16,17,0.58 ,,,,
臺東縣,Ⅲ-29,檳榔橋,352,000,121.090660,22.81035099,台9線,檳榔,卑南,351,750,357,400,丘陵區,5.6,12.5,南,3.4,,,,,2.1,,0.4,5013,116,130,0,116,1185,6560,6924,36736,719,16,17,0.58 ,,,,
臺東縣,Ⅲ-30,東方大鎮,360,400,121.1221739,22.76877687,台9線,卑南,新園,357,400,368,276,丘陵區,10.8,17.7,北,3.5,3.5,,,,,,1.2,3752,53,51,0,13,2952,6821,5796,73667,536,16,17,0.51 ,,,,
臺東縣,Ⅲ-30,東方大鎮,360,400,121.1221739,22.76877687,台9線,卑南,新園,357,400,368,276,丘陵區,10.8,17.7,南,3.5,3.5,,,,,,2.3,3912,51,43,0,7,3016,7029,5945,75913,564,7,8,0.51 ,,,,
臺東縣,Ⅲ-31,新園橋,368,400,121.0491729,22.76089885,台9線,新園,知本,368,276,375,500,丘陵區,7.3,18.8,北,3.4,4.4,,,,,,1.5,2767,108,123,0,157,1050,4205,4644,30697,400,17,18,0.50 ,,,,
臺東縣,Ⅲ-31,新園橋,368,400,121.0491729,22.76089885,台9線,新園,知本,368,276,375,500,丘陵區,7.3,18.8,南,3.4,4.4,,,,,,1.5,2681,63,110,0,136,1127,4117,4383,30054,401,10,11,0.50 ,,,,
臺東縣,Ⅲ-32,知本橋,375,850,121.0395789,22.70172622,台9線,知本,南太麻里,375,500,389,743,丘陵區,14.2,18.2,北,3.5,3.5,,,,,,1.5,1911,92,99,0,134,599,2835,3322,40257,352,16,17,0.51 ,分離車道,,,
臺東縣,Ⅲ-32,知本橋,375,850,121.0395789,22.70172622,台9線,知本,南太麻里,375,500,389,743,丘陵區,14.2,18.2,南,3.5,3.5,,,,,,1.5,2054,60,124,0,160,589,2987,3575,42415,340,10,11,0.51 ,分離車道,,,
臺東縣,Ⅲ-33,金崙大橋,398,400,120.9662365,22.52465541,台9線,南太麻里,大武,389,743,414,250,丘陵區,29.6,18.2,北,3.5,3.5,,,,,,2.0,2720,113,165,0,175,211,3384,4278,100166,455,16,17,0.51 ,,,,
臺東縣,Ⅲ-33,金崙大橋,398,400,120.9662365,22.52465541,台9線,南太麻里,大武,389,743,414,250,丘陵區,29.6,18.2,南,3.5,3.5,,,,,,2.0,2900,114,150,0,139,174,3477,4227,102919,445,14,15,0.51 ,,,,
臺東縣,Ⅲ-34,大武橋,418,200,120.9069007,22.36082971,台9線,大武,壽卡,414,250,433,059,丘陵區,20.4,18,北,3.4,3.9,,,,,,1.5,3510,173,185,0,148,645,4661,5353,95084,677,10,11,0.53 ,,,,
臺東縣,Ⅲ-34,大武橋,418,200,120.9069007,22.36082971,台9線,大武,壽卡,414,250,433,059,丘陵區,20.4,18,南,3.4,3.9,,,,,,1.5,3668,111,168,0,140,648,4735,5315,96594,603,14,15,0.53 ,,,,
屏東縣,Ⅲ-35,丹路,449,500,120.7233692,22.20773628,台9線,壽卡,楓港,433,059,453,346,山嶺區,20.3,18,北,3.4,4,,,,,,1.5,3448,22,189,0,210,240,4109,7726,83413,1129,11,12,0.57 ,,,,
屏東縣,Ⅲ-35,丹路,449,500,120.7233692,22.20773628,台9線,壽卡,楓港,433,059,453,346,山嶺區,20.3,18,南,3.4,4,,,,,,1.5,3300,17,206,0,232,259,4014,7725,81484,839,14,15,0.57 ,,,,
臺東縣,Ⅲ-36,卑南鄉公所,2,300,121.0874612,22.78278551,台9乙線,賓朗,大南,0,000,9,024,丘陵區,9,18.2,北,3.4,4.5,,,,,,1.1,2132,51,131,0,93,775,3182,3426,28638,348,17,18,0.52 ,,,,
臺東縣,Ⅲ-36,卑南鄉公所,2,300,121.0874612,22.78278551,台9乙線,賓朗,大南,0,000,9,024,丘陵區,9,18.2,南,3.4,4.5,,,,,,1.1,2161,54,130,0,95,758,3198,3459,28782,320,15,16,0.52 ,,,,
屏東縣,Ⅲ-37,壽卡,12,000,120.8336070,22.24376057,台9戊線,安朔,草埔,0,000,16,151,山嶺區,16.2,10.5,北,4.7,,,,,,,0.5,235,5,189,0,210,230,869,3023,14078,324,12,13,0.52 ,,,,
屏東縣,Ⅲ-37,壽卡,12,000,120.8336070,22.24376057,台9戊線,安朔,草埔,0,000,16,151,山嶺區,16.2,10.5,南,4.8,,,,,,,0.5,219,5,206,0,232,254,916,3262,14839,350,12,13,0.52 ,,,,
臺東縣,Ⅲ-38,外環道便利商店,85,600,121.4578357,23.31718753,台11線,花東縣界,三仙,72,569,109,199,丘陵區,36.6,18.4,北,3.5,,,,,2.2,,2.9,1084,81,14,0,36,103,1318,1601,48239,167,14,15,0.51 ,,,,
臺東縣,Ⅲ-38,外環道便利商店,85,600,121.4578357,23.31718753,台11線,花東縣界,三仙,72,569,109,199,丘陵區,36.6,18.4,南,3.5,,,,,2.2,,2.9,847,26,26,0,23,93,1015,1165,37149,174,14,15,0.51 ,,,,
臺東縣,Ⅲ-39,萬年橋,112,300,121.3842758,23.10982092,台11線,三仙,成功,109,199,114,000,丘陵區,4.8,18.2,北,3.5,,,,,2.4,,3.1,2185,86,68,0,43,815,3197,3270,15346,356,15,16,0.52 ,,,,
臺東縣,Ⅲ-39,萬年橋,112,300,121.3842758,23.10982092,台11線,三仙,成功,109,199,114,000,丘陵區,4.8,18.2,南,3.5,,,,,2.4,,3.1,2144,47,56,0,21,778,3046,2947,14621,326,15,16,0.52 ,,,,
臺東縣,Ⅲ-40,全滿加油站,114,300,121.3684951,23.10109222,台11線,成功,新港,114,000,123,323,丘陵區,9.3,18.4,北,3.5,,,,,2.3,,3.5,2179,54,121,0,47,572,2973,3225,27649,380,14,15,0.58 ,,,,
臺東縣,Ⅲ-40,全滿加油站,114,300,121.3684951,23.10109222,台11線,成功,新港,114,000,123,323,丘陵區,9.3,18.4,南,3.6,,,,,2.4,,2.9,2152,54,107,0,33,489,2835,3045,26366,271,14,15,0.58 ,,,,
臺東縣,Ⅲ-41,東河道班房,129,200,121.3111390,22.98363116,台11線,新港,興昌,123,323,142,382,丘陵區,19.1,13,北,3.5,,,,,2.0,,0.5,2314,102,78,0,44,422,2960,3285,56536,268,16,17,0.54 ,,,,
臺東縣,Ⅲ-41,東河道班房,129,200,121.3111390,22.98363116,台11線,新港,興昌,123,323,142,382,丘陵區,19.1,13,南,3.5,,,,,2.0,,0.5,2215,60,85,0,34,383,2777,3012,53041,310,16,17,0.54 ,,,,
臺東縣,Ⅲ-42,都蘭糖廠,145,100,121.2256979,22.87132502,台11線,興昌,富岡,142,382,157,331,丘陵區,14.9,12.8,北,3.6,,,,,1.8,,1.6,3137,68,69,0,39,689,4002,4088,59630,300,16,17,0.60 ,,,,
臺東縣,Ⅲ-42,都蘭糖廠,145,100,121.2256979,22.87132502,台11線,興昌,富岡,142,382,157,331,丘陵區,14.9,12.8,南,3.6,,,,,1.8,,0.4,2925,46,54,0,32,696,3753,3733,55920,456,16,17,0.60 ,,,,
臺東縣,Ⅲ-43,中華大橋,160,700,121.1692153,22.77160187,台11線,富岡,新豐里橋,157,331,165,574,丘陵區,8.2,23.6,北,3.5,3.5,,,,2.1,,2.2,4931,125,129,0,57,1739,6981,6941,57244,778,7,8,0.57 ,分離車道,,,
臺東縣,Ⅲ-43,中華大橋,160,700,121.1692153,22.77160187,台11線,富岡,新豐里橋,157,331,165,574,丘陵區,8.2,23.6,南,3.5,3.5,,,,2.1,,2.2,4198,46,62,0,63,1383,5752,5697,47166,586,16,17,0.57 ,分離車道,,,
臺東縣,Ⅲ-44,新豐里橋,165,100,121.1451744,22.74104053,台11線,新豐里橋,豐源大橋,165,574,170,000,丘陵區,4.4,20,北,3.5,4.5,,,,,,0.7,3867,98,124,0,61,1404,5554,5458,24438,600,7,8,0.53 ,,,,
