縣市別,調查站_編號,調查站_地點,調查站_樁號_K,調查站_樁號_百位數,調查站_座標_經度,調查站_座標_緯度,路線編號,起迄地名_起點,起迄地名_迄點,起點樁號_K,起點樁號_百位數,迄點樁號_K,迄點樁號_百位數,地形,里程(公里),路面寬度(公尺),方向(往),車道佈設_快車道寬度(公尺)_1,車道佈設_快車道寬度(公尺)_2,車道佈設_快車道寬度(公尺)_3,車道佈設_快車道寬度(公尺)_4,車道佈設_快車道寬度(公尺)_5,車道佈設_機慢車道寬度(公尺)_1,車道佈設_機慢車道寬度(公尺)_2,車道佈設_路肩寬度(公尺),各車種車輛數(輛/日)_小型車,各車種車輛數(輛/日)_大客車,各車種車輛數(輛/日)_大貨車,各車種車輛數(輛/日)_全聯結車,各車種車輛數(輛/日)_半聯結車,各車種車輛數(輛/日)_機車,各車種車輛數(輛/日)_合計,總計_流量(PCU),總計_車公里,尖峰小時_交通量(PCU),尖峰小時_時段_起,尖峰小時_時段_迄,方向係數,自行車_平日交通量,自行車_假日交通量,備註
屏東縣,Ⅲ-24,西市場,434,100,"E120'28'41.3""","N22'40'25.2""",台3線,九如,屏東市,427,419,434,962,平原區,7.5,21.8,南,3.5,4.4,,,,0,,0.9,"8,540",38,166,0,10,"10,455","19,209","15,149","144,068","1,412",17,18,0.52,0,0,
屏東縣,Ⅲ-25,大武營區,435,300,"E120'28'28.5""","N22'39'54.1""",台3線,屏東市,頭前溪,434,962,436,809,平原區,1.8,15.8,北,3.5,3.5,,,,0,,0.8,"11,108",64,258,0,17,"8,566","20,013","16,782","36,023","1,740",17,18,0.56,0,0,
屏東縣,Ⅲ-25,大武營區,435,300,"E120'28'28.5""","N22'39'54.1""",台3線,屏東市,頭前溪,434,962,436,809,平原區,1.8,15.8,南,3.5,3.5,,,,0,,0.8,"8,968",59,215,0,13,"6,455","15,710","13,292","28,278","1,372",7,8,0.56,0,0,
台東縣,Ⅲ-26,關山鎮,332,200,"E121'10'2.5""","N23'03'22.8""",台9線,花東縣界,武陵,320,46,345,46,丘陵區,25,12.1,北,3.4,,,,,2.1,,0.5,"4,178",109,208,0,112,772,"5,379","6,075","134,475","1,082",8,9,0.51,0,0,
台東縣,Ⅲ-26,關山鎮,332,200,"E121'10'2.5""","N23'03'22.8""",台9線,花東縣界,武陵,320,46,345,46,丘陵區,25,12.1,南,3.4,,,,,2.1,,0.4,"4,415",93,224,0,119,778,"5,629","6,350","140,725","1,082",8,9,0.51,0,0,
台東縣,Ⅲ-27,永隆村,346,700,"E121'08'34.4""","N22'56'18.9""",台9線,武陵,鹿野,345,46,355,740,丘陵區,10.7,12,北,3.4,,,,,2,,0.5,"2,305",74,171,0,120,226,"2,896","3,753","30,987",763,10,11,0.51,0,0,
台東縣,Ⅲ-27,永隆村,346,700,"E121'08'34.4""","N22'56'18.9""",台9線,武陵,鹿野,345,46,355,740,丘陵區,10.7,12,南,3.4,,,,,2,,0.5,"2,135",60,136,0,146,270,"2,747","3,588","29,393",763,10,11,0.51,0,0,
台東縣,Ⅲ-28,鹿鳴橋,356,900,"E121'05'40.1""","N22'53'31.4""",台9線,鹿野,檳榔,355,740,367,550,丘陵區,11.8,13.2,北,3.4,,,,,2,,1.1,"4,817",112,196,0,117,573,"5,815","6,613","68,617","1,190",16,17,0.5,41,63,
台東縣,Ⅲ-28,鹿鳴橋,356,900,"E121'05'40.1""","N22'53'31.4""",台9線,鹿野,檳榔,355,740,367,550,丘陵區,11.8,13.2,南,3.4,,,,,2,,1.1,"4,734",110,232,0,176,524,"5,776","6,902","68,157","1,190",16,17,0.5,36,27,
台東縣,Ⅲ-29,檳榔橋,367,700,"E121'05'26.2""","N22'48'37.7""",台9線,檳榔,卑南,367,550,373,121,丘陵區,5.6,12.5,北,3.4,,,,,2.1,,0.9,"7,112",143,229,0,153,"1,367","9,004","9,677","50,422","1,949",17,18,0.5,47,89,
